Master,Special,CC,Code,Country,Year,Pop,GDPcoL,GDPcoP,GDPcoU,HCEcoL,HCEcoP,HCEcoU,GDPcuL,GDPcuP,GDPcuU,HCEcuL,HCEcuP,HCEcuU,Defl,DiffDefl,XR,RXR,Cont,Reg,TelluReg,EU
0,0,BLZ_1970,BLZ,Belize,1970,122182,564382961,,282191480.5,456330069.9,,228165035,46529729,,27917781.55,29641706,,17784988.02,0.08244354,0.397908412,1.666670001,4.188576945,N America,Latam & Carib,Latam & Carib,0
1,0,BEN_1970,BEN,Benin,1970,2912340,7.61E+11,,1285853385,8.50E+11,,1436838804,89017145904,,322055483.4,48735956057,,176322007.7,0.117006632,0.564724944,276.403137,489.4473668,Africa,Africa,SSA,0
0,0,BMU_1970,BMU,Bermuda,1970,52565,3019675453,,3019675453,1684866121,,1684866121,265536110,,265536110,181025874,,181025874,0.087935314,0.424414107,1,2.356189351,N America,Northern America,Northern America,0
0,0,BTN_1970,BTN,Bhutan,1970,297316,6562252248,,102292335.8,7191504206,,112101110.4,463317333,,61775644.35,338981251,,45197500.09,0.070603402,0.340762753,7.500000007,22.00944773,Asia,S Asia,S Asia,0
1,0,BOL_1970,BOL,Bolivia,1970,4484004,55562207368,,8040840430,40493398358,,5860115537,12000,,1010101010,9000,,757575757.6,2.16E-07,1.04E-06,0.00001188,11.39693823,S America,Latam & Carib,Latam & Carib,0
0,3,BIH_1970,BIH,Bosnia and Herzegovina,1970,3760529,3653738268,,2071877275,2521461085,,1429811754,43.77949479,,1280157123,35.20743847,,1029501445,1.20E-08,5.78E-08,3.42E-08,0.591354173,Europe,S Europe,Europe & C Asia,0
0,0,BWA_1970,BWA,Botswana,1970,627715,3850898567,,380185374.6,3348825486,,330617504,47854511,,66797330.96,41090451,,57355772.68,0.012426843,0.059977353,0.71641352,11.94473389,Africa,Africa,SSA,0
1,0,BRA_1970,BRA,Brazil,1970,95113265,1.16E+12,,3.49E+11,6.42E+11,,1.93E+11,0.07,,35213857570,0.04799,,24141614640,6.03E-14,2.91E-13,1.99E-12,6.829089544,S America,Latam & Carib,Latam & Carib,0
0,0,VGB_1970,VGB,British Virgin Islands,1970,9827,74404241.02,,74404241.02,64081092.68,,64081092.68,11613756,,11613756,10002416,,10002416,0.156089973,0.753358162,1,1.32738988,N America,Latam & Carib,Latam & Carib,0
0,0,BRN_1970,BRN,Brunei Darussalam,1970,129529,6836048412,,4971993958,1628191899,,1184216348,688529363,,224919921.6,108058466,,35299150.64,0.100720376,0.486120378,3.061220002,6.297246809,Asia,SE Asia,SE Asia & Pacific,0
1,0,BGR_1970,BGR,Bulgaria,1970,8507551,26272748102,,14890471606,16079483042,,9113286694,10530000,,9000000008,6482316,,5540441030,0.000400796,0.001934414,0.00117,0.604834424,Europe,E Europe,Europe & C Asia,1
1,0,BFA_1970,BFA,Burkina Faso,1970,5624600,8.58E+11,,1449328297,9.14E+11,,1544018691,1.40E+11,,506221625.7,1.20E+11,,433927508.9,0.16317182,0.787538236,276.403137,350.9710695,Africa,Africa,SSA,0
1,0,BDI_1970,BDI,Burundi,1970,3479074,1.63E+12,,1033921424,1.80E+12,,1148268257,21475700000,,245436571.2,18636000000,,212982856.9,0.013214032,0.063776669,87.50000009,1371.975075,Africa,Africa,SSA,0
0,0,CPV_1970,CPV,Cabo Verde,1970,268627,25680337095,,258286104.4,16145549401,,162387707.1,2097043798,,72940653.77,1492902853,,51927055.7,0.081659512,0.394124354,28.75000003,72.94651989,Africa,Africa,SSA,0
1,0,KHM_1970,KHM,Cambodia,1970,6996576,1.54E+13,,3776894124,1.67E+13,,4103322924,12944341724,,767724278.3,12297822647,,729379463,0.000842541,0.004066468,16.86066481,4146.267318,Asia,SE Asia,SE Asia & Pacific,0
1,0,CMR_1970,CMR,Cameroon,1970,6519762,4.08E+12,,6891772235,3.03E+12,,5127142826,3.64E+11,,1315837125,2.68E+11,,969848959.6,0.089195399,0.430495826,276.403137,642.0576463,Africa,Africa,SSA,0
1,0,CAN_1970,CAN,Canada,1970,21374326,5.86E+11,,4.58E+11,2.96E+11,,2.31E+11,93236000000,,89228310508,51802000000,,49575324348,0.159116325,0.767964652,1.044914999,1.360629029,N America,Northern America,Northern America,0
0,0,CYM_1970,CYM,Cayman Islands,1970,9144,290949610,,354816597.6,157849409,,192499279.3,25711260,,31074200.31,13905482,,16805933.78,0.088370148,0.426512803,0.827415018,1.939953532,N America,Latam & Carib,Latam & Carib,0
0,0,CAF_1970,CAF,Central African Republic,1970,1811144,8.44E+11,,1426986572,4.88E+11,,825304906,76277407959,,275964335.2,54578035590,,197458090.3,0.090345038,0.436044485,276.403137,633.8874734,Africa,Africa,SSA,0
1,0,TCD_1970,TCD,Chad,1970,3643604,1.24E+12,,2096937584,1.13E+12,,1917417973,98206526697,,355301780.4,70104131137,,253630012.6,0.079155868,0.382040677,276.403137,723.4913811,Africa,Africa,SSA,0
1,0,CHL_1970,CHL,Chile,1970,9783134,2.76E+13,,42173767137,1.65E+13,,25203628600,109166405,,9680014665,74594677,,6614466853,3.96E-06,1.91E-05,0.011277504,590.47298,S America,Latam & Carib,Latam & Carib,0
1,0,CHN_1970,CHN,China,1970,827601394,1.44E+12,,2.32E+11,8.58E+11,,1.38E+11,2.28E+11,,92602617774,1.21E+11,,49020853239,0.157959635,0.762381962,2.461809455,3.229102441,Asia,E Asia,E Asia,0
1,0,COL_1970,COL,Colombia,1970,21480065,1.39E+14,,50611192183,1.13E+14,,41245337106,1.87E+11,,10126966867,1.48E+11,,8048492716,0.001345917,0.00649598,18.4431,2839.156069,S America,Latam & Carib,Latam & Carib,0
0,0,COM_1970,COM,Comoros,1970,230054,1.18E+11,,265643225.6,71376196019,,160906741.5,10358671552,,37476996.26,8067464430,,29187558.73,0.087907547,0.424280088,276.4007948,651.4583234,Africa,Africa,SSA,0
1,0,COD_1970,COD,"Congo, Dem. Rep.",1970,20011036,2.39E+13,,25829075685,1.35E+13,,14569175365,0.00797,,4772455090,0.00351,,2101796407,3.33E-16,1.61E-15,1.67E-12,1038.351649,Africa,Africa,SSA,0
0,0,COG_1970,COG,"Congo, Rep.",1970,1326885,1.14E+12,,1919268612,4.12E+11,,696364710.6,78409534133,,283678162.9,69588924336,,251766043.9,0.069049634,0.333263592,276.403137,829.3829382,Africa,Africa,SSA,0
0,0,COK_1970,COK,Cook Islands,1970,21302,159758825.9,,111409770.7,128330607,,89492917.92,9958138,,11153116.35,7999144,,8959042.715,0.062332318,0.300842903,0.892857,2.967851293,Oceania,Oceania,SE Asia & Pacific,0
0,0,CRI_1970,CRI,Costa Rica,1970,1847394,4.54E+12,,8501698814,3.76E+12,,7042369690,8298022801,,1252531742,7481586355,,1129296053,0.001825861,0.008812401,6.625000006,751.7814915,N America,Latam & Carib,Latam & Carib,0
1,0,CIV_1970,CIV,Cote d'Ivoire,1970,5102064,5.40E+12,,9119778434,2.82E+12,,4771014861,4.15E+11,,1500930867,2.46E+11,,890214209,0.076886065,0.371085622,276.403137,744.8500309,Africa,Africa,SSA,0
1,3,HRV_1970,HRV,Croatia,1970,4423073,1.85E+11,,26925458591,88271237808,,12870709876,16415.26968,,2745647195,8305.240089,,1389149225,8.89E-08,4.29E-07,5.98E-06,13.93505228,Europe,S Europe,Europe & C Asia,1
9,0,CUB_1970,CUB,Cuba,1970,8712541,23121348307,,23140632168,14461128755,,14473189747,5692936975,,5692936975,3107812592,,3107812592,0.246219939,1.188364613,1,0.841492577,N America,Latam & Carib,Latam & Carib,0
0,1,CUW_1970,CUW,Curacao,1970,143634,2025504944,,1131567008,1488448547,,831535500.9,302520085.2,,172217963.1,213781896.1,,121701283.6,0.149355392,0.720854141,1.756611679,2.436847594,N America,Latam & Carib,Latam & Carib,0
1,0,CYP_1970,CYP,Cyprus,1970,613618,3359310766,,3725699970,1681539546,,1864939648,438593878,,616073732,335119213,,470727373.5,0.130560674,0.63014265,0.711917836,1.129772499,Asia,W Asia,Europe & C Asia,1
1,1,CZE_1970,CZE,Czechia,1970,9817669,1.63E+12,,66216103048,1.53E+12,,62209049596,3.41E+11,,5685924334,1.58E+11,,5341841827,0.209448434,1.010889322,60.00020012,59.35387664,Europe,E Europe,Europe & C Asia,1
1,0,DNK_1970,DNK,Denmark,1970,4931241,8.93E+11,,1.33E+11,4.75E+11,,70592026637,1.28E+11,,17075466652,70596000000,,9412799992,0.143421134,0.69221283,7.500000007,10.83481797,Europe,N Europe,Europe & C Asia,1
0,0,DJI_1970,DJI,Djibouti,1970,159659,92323373440,,519487809.1,65418307712,,368097612.6,15300000000,,71364603.09,11069708646,,51633030.31,0.165721847,0.799845778,214.3920002,268.0416725,Africa,Africa,SSA,0
0,0,DMA_1970,DMA,Dominica,1970,71073,378803448.7,,140297573.6,260174303.5,,96360853.16,46089156,,23044577.99,31655504,,15827751.99,0.121670371,0.587234175,2.000000001,3.405796335,N America,Latam & Carib,Latam & Carib,0
1,0,DOM_1970,DOM,Dominican Republic,1970,4499720,3.44E+11,,7635572787,2.64E+11,,5865017204,1859112944,,1859112944,1385052826,,1385052826,0.005404469,0.026084318,1,38.33721116,N America,Latam & Carib,Latam & Carib,0
1,0,ECU_1970,ECU,Ecuador,1970,6069376,17347894301,,17347894301,11653591868,,11653591868,2861132000,,2861132000,2126266000,,2126266000,0.16492676,0.796008341,1,1.256268243,S America,Latam & Carib,Latam & Carib,0
1,0,EGY_1970,EGY,Egypt,1970,34513850,2.17E+11,,28220900447,2.02E+11,,26257676339,3540353826,,8142813796,2318292770,,5332073369,0.016310918,0.078723591,0.434782609,5.522901154,Africa,Africa,MENA,0
1,0,SLV_1970,SLV,El Salvador,1970,3673068,8198805207,,8198805207,7313563142,,7313563142,339460657,,339460657,255582419,,255582419,0.041403674,0.199832154,1,5.004199668,N America,Latam & Carib,Latam & Carib,0
0,0,GNQ_1970,GNQ,Equatorial Guinea,1970,303982,1.64E+11,,277690174.2,1.22E+11,,206748568.1,5796820038,,20972338.09,3901792226,,14116309.49,0.035282356,0.170288007,276.403137,1623.150929,Africa,Africa,SSA,0
9,1,ERI_1970,ERI,Eritrea,1970,1310945,7348688229,,477963462,7957842939,,448628933.7,403476354.9,,73701845.52,393683261.2,,71912969.74,0.054904541,0.264993217,5.474440322,20.65879417,Africa,Africa,SSA,0
1,3,EST_1970,EST,Estonia,1970,1360202,5256766708,,5830105319,2618253156,,2903817593,19478222.84,,3097945051,12568512.7,,1998979170,0.003705362,0.017883689,0.006287466,0.351575418,Europe,N Europe,Europe & C Asia,1
0,0,SWZ_1970,SWZ,Eswatini,1970,431253,5528571170,,433309908.3,1974237815,,154733796.5,110515974,,154722301.8,59120866,,82769179.33,0.01998997,0.096480299,0.714286,7.403438889,Africa,Africa,SSA,0
1,1,ETH_1970,ETH,Ethiopia,1970,28415077,1.70E+11,,8247566157,1.84E+11,,6073694549,6150490126,,2485373425,4757744429,,1922573864,0.036241407,0.174916808,2.474674455,14.14772247,Africa,Africa,SSA,0
0,0,FJI_1970,FJI,Fiji,1970,520562,2215777417,,1056327649,1380268594,,658015496.9,192297217,,220819601.7,108194229,,124242081.7,0.08678544,0.418864311,0.870834,2.079036043,Oceania,Oceania,SE Asia & Pacific,0
1,0,FIN_1970,FIN,Finland,1970,4612366,71112046608,,78868008453,37695019864,,41806294251,7983478417,,11301891940,4356216100,,6166921367,0.112266188,0.541845497,0.706384246,1.30366359,Europe,N Europe,Europe & C Asia,1
1,0,FRA_1970,FRA,France,1970,51957738,8.21E+11,,9.10E+11,4.36E+11,,4.84E+11,1.26E+11,,1.48E+11,68212000000,,80559251389,0.153149594,0.739166613,0.846730808,1.145520905,Europe,W Europe,Europe & C Asia,1
0,0,PYF_1970,PYF,French Polynesia,1970,110495,1.56E+11,,1452499585,98222516746,,912878390.5,26540758420,,262818818.6,16627158892,,164649788.3,0.169824045,0.81964477,100.9850001,123.2058129,Oceania,Oceania,SE Asia & Pacific,0
0,0,GAB_1970,GAB,Gabon,1970,589314,2.04E+12,,3445940268,7.48E+11,,1264862260,1.13E+11,,409868980.6,33451743468,,121025194.7,0.055565924,0.268185339,276.403137,1030.642234,Africa,Africa,SSA,0
0,0,GMB_1970,GMB,Gambia,1970,464410,15284885726,,359591843.4,12395997459,,291627929.5,333590003,,160123457.6,287992864,,138236795.8,0.021824828,0.105336121,2.083330001,19.77792592,Africa,Africa,SSA,0
0,3,GEO_1970,GEO,Georgia,1970,4713342,15256806419,,6723009868,10031093011,,4420265647,5717.503507,,4865240028,3615.596615,,3076647938,3.75E-07,1.81E-06,1.18E-06,0.649729931,Asia,W Asia,Europe & C Asia,0
1,0,DEU_1970,DEU,Germany,1970,78578385,1.26E+12,,1.40E+12,7.01E+11,,7.78E+11,4.04E+11,,2.16E+11,2.24E+11,,1.20E+11,0.320371433,1.546252004,1.871328287,1.210234995,Europe,W Europe,Europe & C Asia,1
1,0,GHA_1970,GHA,Ghana,1970,8735495,36599223609,,9977910077,23537473969,,6416933900,479097,,4697713819,323328,,3170344238,1.31E-05,6.32E-05,0.000101985,1.614205509,Africa,Africa,SSA,0
1,0,GRC_1970,GRC,Greece,1970,8663571,85073525000,,94352220317,44674639000,,49547157962,1156307900,,13133730551,704995575,,8007574732,0.013591865,0.065600259,0.088041086,1.34208442,Europe,S Europe,Europe & C Asia,1
0,0,GRL_1970,GRL,Greenland,1970,46074,5031465428,,747850045.2,5619916486,,835314255.6,569760750,,75968099.93,645169129,,86022550.46,0.113239524,0.546543239,7.500000007,13.72261053,N America,Northern America,Europe & C Asia,0
0,0,GRD_1970,GRD,Grenada,1970,94475,449576693.1,,166509886.3,253437037.9,,93865569.61,38215722,,19107860.99,24370853,,12185426.49,0.085003788,0.410265286,2.000000001,4.874894533,N America,Latam & Carib,Latam & Carib,0
1,0,GTM_1970,GTM,Guatemala,1970,5621792,1.00E+11,,13084305598,82262726535,,10746533592,1670434427,,1670434427,1272942693,,1272942693,0.016678003,0.080495304,1,12.42308495,N America,Latam & Carib,Latam & Carib,0
1,0,GIN_1970,GIN,Guinea,1970,4154605,1.44E+13,,1921213417,1.60E+13,,2135993563,79848807905,,765478536.8,73230478360,,702031262.5,0.005552276,0.026797701,104.3122754,3892.583055,Africa,Africa,SSA,0
0,0,GNB_1970,GNB,Guinea-Bissau,1970,704939,2.35E+11,,396635025.1,1.16E+11,,195475827.2,124231486,,280871185.5,94728563,,214168924.8,0.000529382,0.002555026,0.442307693,173.1127744,Africa,Africa,SSA,0
0,0,GUY_1970,GUY,Guyana,1970,704934,2.64E+11,,1280402456,1.98E+11,,958080871.7,854121272,,427060635.8,639109406,,319554702.8,0.003230375,0.015591198,2.000000001,128.2775099,S America,Latam & Carib,Latam & Carib,0
1,0,HTI_1970,HTI,Haiti,1970,4676230,2.35E+11,,4638115647,1.27E+11,,2510533909,2196175942,,439235188,1894017954,,378803590.5,0.009338187,0.045070154,5.000000004,110.9381613,N America,Latam & Carib,Latam & Carib,0
1,0,HND_1970,HND,Honduras,1970,2716654,86960376103,,3962619396,65924803795,,3004068265,1648707148,,824353573.6,1206252250,,603126124.7,0.018959292,0.091505796,2.000000001,21.85653906,N America,Latam & Carib,Latam & Carib,0
1,0,HKG_1970,HKG,Hong Kong,1970,3848924,2.08E+11,,26852692750,1.23E+11,,15863076090,23106000000,,3812493809,15304000000,,2525162523,0.111003627,0.535751826,6.060600005,11.31232731,Asia,E Asia,E Asia,0
1,0,HUN_1970,HUN,Hungary,1970,10366105,1.40E+13,,50192903967,8.64E+12,,30921708431,3.83E+11,,6388906324,1.85E+11,,3084637424,0.027340974,0.131959442,60,454.6851598,Europe,E Europe,Europe & C Asia,1
0,0,ISL_1970,ISL,Iceland,1970,204426,4.84E+11,,3671372335,2.90E+11,,2199417417,464197000,,527496590.9,278856000,,316881818.2,0.000958446,0.004625876,0.88,190.2342337,Europe,N Europe,Europe & C Asia,0
1,0,IND_1970,IND,India,1970,555189792,1.32E+13,,2.06E+11,1.02E+13,,1.60E+11,4.68E+11,,62422483000,3.73E+11,,49741148289,0.035483995,0.171261206,7.500000007,43.7927549,Asia,S Asia,S Asia,0
1,0,IDN_1970,IDN,Indonesia,1970,114793179,8.83E+14,,65940823587,4.33E+14,,32303861795,3.79E+12,,10439687780,2.80E+12,,7712416755,0.004290212,0.020706432,362.8333333,17522.73533,Asia,SE Asia,SE Asia & Pacific,0
1,0,IRN_1970,IRN,Iran,1970,28513866,4.25E+15,,1.47E+11,7.44E+14,,25659512303,8.31E+11,,10976245143,4.80E+11,,6335955457,0.000195585,0.000943978,75.75000008,80245.54792,Asia,S Asia,MENA,0
1,0,IRQ_1970,IRQ,Iraq,1970,9917983,3.08E+13,,26363695218,6.98E+12,,5977629106,5272518566,,3288608028,1195475831,,745649610.5,0.000171324,0.000826882,1.603267559,1938.931943,Asia,W Asia,MENA,0
1,0,IRL_1970,IRL,Ireland,1970,2908421,32135391588,,35640295229,19937323088,,22111822692,2326285000,,4397032456,1631696000,,3084153606,0.072390125,0.349386254,0.529057955,1.514249483,Europe,N Europe,Europe & C Asia,1
1,0,ISR_1970,ISR,Israel,1970,2813749,1.64E+11,,42186905445,66182619283,,17027388006,2107029,,6020096053,1124954,,3214161331,1.28E-05,6.20E-05,0.000349999,5.643436937,Asia,W Asia,MENA,0
1,0,ITA_1970,ITA,Italy,1970,53518969,7.64E+11,,8.47E+11,4.45E+11,,4.94E+11,36604007919,,1.13E+11,21596054969,,66905269301,0.04790697,0.231219895,0.322785562,1.396011199,Europe,S Europe,Europe & C Asia,1
0,0,JAM_1970,JAM,Jamaica,1970,1875642,1.12E+12,,9558249362,5.90E+11,,5044946215,1446322416,,1735587594,793546626,,952256332.3,0.001294438,0.006247521,0.833333,133.3861958,N America,Latam & Carib,Latam & Carib,0
1,0,JPN_1970,JPN,Japan,1970,104929251,1.73E+14,,1.43E+12,9.74E+13,,8.05E+11,7.65E+13,,2.13E+11,3.56E+13,,98881949459,0.44213162,2.13391967,360.0000004,168.7036328,Asia,E Asia,E Asia,0
1,0,JOR_1970,JOR,Jordan,1970,1721323,3608090168,,5081817138,2888918515,,4068899316,218450168,,611660226.8,162021021,,453658678.2,0.060544542,0.292214318,0.357142999,1.222195414,Asia,W Asia,MENA,0
1,3,KAZ_1970,KAZ,Kazakhstan,1970,13036139,8.39E+12,,37844535456,5.85E+12,,26363718825,36578650.4,,16256622789,24580013.14,,10924077222,4.36E-06,2.10E-05,0.002250077,106.9467402,Asia,C Asia,Europe & C Asia,0
1,0,KEN_1970,KEN,Kenya,1970,11301394,1.03E+12,,10478190355,8.31E+11,,8460589124,17989184773,,2518484859,12214486704,,1710027453,0.017486746,0.084398651,7.142860006,84.63239571,Africa,Africa,SSA,0
0,0,KIR_1970,KIR,Kiribati,1970,51151,180878359.4,,135887373.3,94134722.2,,70720014.16,18031729,,20195539.71,9384272,,10510386.32,0.099689808,0.481146413,0.892857,1.8556867,Oceania,Oceania,SE Asia & Pacific,0
9,5,PRK_1970,PRK,"Korea, DPR",1970,12761875,8.19E+11,,7611140552,6.98E+11,,0,12663244775,,4927332597,10801106901,,0,0.015468846,0.074659386,2.57,34.42299921,Asia,E Asia,E Asia,0
1,0,KOR_1970,KOR,"Korea, Rep.",1970,32195681,7.21E+13,,63742405456,6.36E+13,,56232045493,2.80E+12,,9005144003,2.06E+12,,6640029839,0.038786342,0.187199772,310.5558333,1658.954118,Asia,E Asia,E Asia,0
0,3,XKX_1970,XKX,Kosovo,1970,1188214.437,3914337392,,4341261561,2169893778,,2406557102,179437.5659,,730286715.9,131453.1022,,534996413.9,4.58E-05,0.000221249,0.000245708,1.110550634,Europe,E Europe,Europe & C Asia,0
1,0,KWT_1970,KWT,Kuwait,1970,744450,16867444557,,56065584257,2177614749,,7238158857,1026000000,,2872798856,396000000,,1108799558,0.060827234,0.293578712,0.357142999,1.216515316,Asia,W Asia,MENA,0
1,3,KGZ_1970,KGZ,Kyrgyzstan,1970,2969851,1.35E+11,,2097428963,1.73E+11,,2677293544,16352098.24,,1429217718,11666916.71,,1019720151,0.000120943,0.000583725,0.011441293,19.60048796,Asia,C Asia,Europe & C Asia,0
1,0,LAO_1970,LAO,Laos,1970,2688428,8.54E+12,,1047711266,6.21E+12,,761662829.2,175121346,,119107630,157921195,,107409060.6,2.05E-05,9.90E-05,1.470278151,14849.83201,Asia,SE Asia,SE Asia & Pacific,0
1,3,LVA_1970,LVA,Latvia,1970,2378021,8820122124,,9782104432,7852716152,,8709186606,37009408.23,,5290513462,20297428.07,,2901527520,0.00419602,0.020251819,0.006995428,0.34542223,Europe,N Europe,Europe & C Asia,1
9,0,LBN_1970,LBN,Lebanon,1970,2297434,3.25E+13,,21561621519,2.73E+13,,18119138659,6503766471,,1989537972,5609598824,,1716007166,0.00020009,0.000965723,3.268983332,3385.010464,Asia,W Asia,MENA,0
0,0,LSO_1970,LSO,Lesotho,1970,1028926,3922705582,,307447827.6,4337656702,,339970232.8,56736319,,79430814.86,56573998,,79203565.55,0.014463568,0.069807476,0.714286,10.2322279,Africa,Africa,SSA,0
0,0,LBR_1970,LBR,Liberia,1970,1400730,1503845985,,1503845985,1033895588,,1033895588,316498842,,316498842,160189703,,160189703,0.210459612,1.015769705,1,0.984475118,Africa,Africa,SSA,0
9,0,LBY_1970,LBY,Libya,1970,2133526,70964402990,,51378436445,9881915520,,7154535896,1421027179,,3978874521,441121809,,1235140575,0.020024507,0.096646988,0.357142999,3.695335031,Africa,Africa,MENA,0
0,0,LIE_1970,LIE,Liechtenstein,1970,21266,1575359050,,1636938503,835333659,,867986145.1,483726610,,110617914.6,276658719,,63265923.18,0.307058007,1.481995612,4.372950003,2.950717242,Europe,W Europe,Europe & C Asia,0
1,3,LTU_1970,LTU,Lithuania,1970,3136586,11050272751,,12255490403,6150120398,,6820894218,15558883.55,,5608821943,8460231.374,,3049828814,0.001408009,0.006795664,0.002774002,0.408201742,Europe,N Europe,Europe & C Asia,1
1,0,LUX_1970,LUX,Luxembourg,1970,339668,10212608724,,11326465059,4313043525,,4783453288,1870597729,,1509194505,853092377,,688273222.9,0.183165514,0.884036509,1.239467625,1.402054794,Europe,W Europe,Europe & C Asia,1
0,0,MAC_1970,MAC,Macao,1970,246194,18863187063,,2362339458,6619232674,,828962490.6,1007421506,,166477331.2,594132593,,98180957.89,0.053406749,0.257764222,6.051403508,23.47650675,Asia,E Asia,E Asia,0
1,0,MDG_1970,MDG,Madagascar,1970,6576305,1.62E+13,,5523023787,1.31E+13,,4475723462,58455354807,,1052455079,42985263879,,773924979.8,0.003607946,0.017413519,55.54190006,3189.585003,Africa,Africa,SSA,0
1,0,MWI_1970,MWI,Malawi,1970,4703782,5.66E+11,,1132706720,5.31E+11,,1063735906,482628430,,579154347.8,341101026,,409321395,0.000852841,0.004116181,0.833333,202.4529762,Africa,Africa,SSA,0
1,0,MYS_1970,MYS,Malaysia,1970,10804131,66631479927,,17060933412,34980104765,,8956625889,11829000000,,3864145665,7095000000,,2317703398,0.1775287,0.856830788,3.061220002,3.572724094,Asia,SE Asia,SE Asia & Pacific,0
